id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
503765,46000,0,0,1,0,0,0,1,2,0,1,0,4,2,1,74,3,805.34,0,0,2.83,0,1.6,52,0,0,10.7364,0
503780,46000,0,0,0,0,0,1,1,2,1,0,0,3,2,0,126,2,380.64,2.33,0,0,20.98,42.16,52,0,0,10.7364,0
503783,46000,0,0,0,1,0,0,0,0,0,1,0,5,1,1,170,3,215.15,7.5,0,1.87,8.94,0.94,52,1,0,10.7364,0
503854,47000,0,1,0,0,0,0,1,1,1,0,0,2,2,1,52,3,435.95,20.13,0,5.99,17.17,1.32,52,0,0,10.7579,0
503873,47000,0,0,1,0,0,0,1,2,1,0,0,3,2,1,58,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.7579,0
503881,47000,0,1,0,0,0,0,1,1,1,0,0,3,1,1,59,3,850.84,2.63,0,0.61,2.53,1.65,52,0,0,10.7579,0
503884,47000,0,0,0,0,1,0,1,4,1,0,0,3,2,1,60,3,576.42,39.43,0,1.29,5.36,0.29,234,0,0,10.7579,0
503885,47000,0,0,0,0,1,0,1,5,0,1,0,3,2,1,60,3,190.19,9.32,0,1.53,7.58,0.77,52,0,0,10.7579,0
503889,47000,0,0,0,0,0,1,1,4,0,1,0,3,2,1,61,3,193.62,9.07,0,1.58,7.77,0.79,52,0,0,10.7579,0
503940,47419,0,0,0,0,1,0,1,1,0,0,0,3,1,1,50,3,95.43,16.69,0,0.17,2.59,0.16,52.99,0,0,10.76678,0
503957,47709,0,0,0,0,0,1,0,0,0,1,0,3,2,1,51,3,215.15,7.5,0,1.87,8.94,0.94,52,1,0,10.77288,0
503958,47709,0,0,0,0,1,0,1,1,0,0,0,3,2,1,51,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.77288,0
504024,48000,0,0,0,1,0,0,1,5,0,1,0,3,1,1,50,3,498.86,19.81,0,2.52,20.17,1.02,52,0,0,10.77896,0
504043,48000,0,0,0,0,1,0,1,4,0,1,0,2,2,0,55,4,338.74,10.43,0,0.62,18.52,5.18,117.06,0,0,10.77896,0
504052,48000,0,0,0,1,0,0,1,1,0,1,0,3,2,1,57,3,192.05,100,0,0,0,0,52,0,0,10.77896,0
504054,48000,0,0,0,1,0,0,1,3,0,1,0,3,1,0,57,3,459.87,27.89,0,0,39.73,4.25,108.8,0,0,10.77896,0
504072,48000,0,0,0,0,1,0,1,2,0,1,0,3,1,1,60,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.77896,0
504082,48000,0,0,0,1,0,0,1,1,0,1,0,3,2,0,61,3,273.93,4.08,0,1.02,18.98,26.45,134.82,0,0,10.77896,0
504083,48000,0,0,0,0,1,0,1,1,0,1,0,3,1,0,61,3,519.54,16.84,0,4.98,14.39,1.39,52,0,0,10.77896,0
504117,48000,0,0,0,0,0,1,1,4,0,1,0,3,1,0,68,3,574.51,0,0,2.51,0,1.47,52,0,0,10.77896,0
504130,48000,0,0,0,1,0,0,1,2,0,1,0,3,2,1,75,3,771.86,1.65,0,3.49,0.92,1.63,52,0,0,10.77896,0
504139,48000,0,0,0,0,1,0,1,3,0,1,0,3,2,0,78,3,265.14,25.1,0,0,22.03,1.44,71.27,0,0,10.77896,0
504142,48000,0,0,0,0,1,0,1,2,0,1,0,3,2,0,80,3,149.4,12.31,0,0.98,5.35,0.49,52,0,0,10.77896,0
504160,48000,0,0,0,0,1,0,1,2,0,1,0,3,1,1,105,3,398.14,5.56,0,1.39,2.17,0.83,52,0,0,10.77896,0
504186,48900,0,0,0,0,1,0,1,3,0,1,0,3,1,1,55,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.79753,0
504187,48900,0,0,0,0,1,0,1,3,0,1,0,3,1,1,55,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.79753,0
504188,48900,0,0,0,0,1,0,1,3,0,1,0,3,1,1,55,3,852.94,16.08,0,0.42,27.7,0.91,234,0,0,10.79753,0
504189,48900,0,0,0,0,1,0,1,3,0,1,0,3,1,1,55,3,853.57,16.15,0,0.41,27.8,0.91,234,0,0,10.79753,0
504190,48900,0,0,0,0,0,1,1,3,0,0,1,3,1,1,56,3,592.96,37.69,0,1.26,6.56,0.33,234,0,0,10.79753,0
504191,48900,0,0,0,0,1,0,1,3,0,1,0,3,1,1,56,3,823.16,14.08,0,0.76,23.58,0.81,234,0,0,10.79753,0
504224,49000,0,0,1,0,0,0,1,3,0,1,0,3,2,1,57,4,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.79958,0
504225,49000,0,0,1,0,0,0,1,3,0,1,0,3,2,1,57,4,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.79958,0
504226,49000,0,0,0,0,1,0,1,5,0,1,0,2,2,1,57,3,725.78,2.44,0,2.12,8.18,0.46,234,0,0,10.79958,0
504230,49000,0,0,0,0,1,0,1,4,1,0,0,3,2,1,58,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.79958,0
504240,49000,0,0,0,0,1,0,1,4,0,1,0,3,1,0,64,3,469.38,0,0,2.37,0,1.42,52,0,0,10.79958,0
504277,49569,0,0,1,0,0,0,1,2,0,1,0,3,1,1,72,3,472.9,0,0,2.34,0,1.4,52,0,0,10.81112,0
504278,49620,0,0,0,0,1,0,1,2,1,0,0,3,2,0,82,3,525.34,13.84,0,8.38,7.68,1.85,52,0,0,10.81215,0
504283,49900,0,0,0,0,1,0,1,1,0,1,0,2,2,0,58,3,534.25,49.08,0,1.1,4.27,0.24,234,0,0,10.81778,0
504363,50000,0,0,0,1,0,0,1,4,1,0,0,2,2,1,54,4,570.23,1.55,0,0.39,13.4,22.17,119.82,0,0,10.81978,0
504388,50000,0,0,1,0,0,0,1,4,1,0,0,3,3,1,57,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.81978,0
504389,50000,0,0,0,1,0,0,1,4,0,1,0,3,2,1,57,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.81978,0
504394,50000,0,0,0,0,1,0,1,3,1,0,0,3,2,1,58,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.81978,0
504402,50000,0,0,0,0,0,1,0,0,1,0,0,3,2,1,59,3,438.23,1.28,0,2.12,0.5,1.27,52,1,0,10.81978,0
504406,50000,0,0,0,0,1,0,1,5,1,0,0,3,2,1,59,3,263.74,32.24,0,1.36,35.48,0.3,52,0,0,10.81978,0
504415,50000,0,0,0,0,0,1,1,2,1,0,0,3,2,1,60,3,497.82,11.33,0,6.31,7.27,1.65,52,0,0,10.81978,0
504422,50000,0,0,0,0,1,0,1,4,1,0,0,3,2,1,60,3,264.8,32.17,0,1.39,35.36,0.31,52,0,0,10.81978,0
504437,50000,0,0,1,0,0,0,1,6,0,1,0,2,2,1,62,4,474.4,3.58,0,0.89,10.58,12.62,89.1,0,0,10.81978,0
504438,50000,0,0,1,0,0,0,1,2,1,0,0,4,2,0,62,4,459.34,3.37,0,0.84,12.14,15.85,99.64,0,0,10.81978,0
504444,50000,0,0,0,1,0,0,1,5,0,1,0,3,2,0,63,3,350.69,10.62,0,0.52,4.15,0.31,52,0,0,10.81978,0
504448,50000,0,0,0,0,1,0,1,4,1,0,0,3,2,1,65,3,316.81,12.38,0,0.28,4.38,0.17,52,0,0,10.81978,0
504481,50000,0,0,0,1,0,0,1,2,0,1,0,3,2,1,73,4,474.4,3.58,0,0.89,10.58,12.62,89.1,0,0,10.81978,0
504484,50000,0,1,0,0,0,0,1,5,1,0,0,3,2,1,73,3,325.24,99.91,0,0,0.01,0,234,0,0,10.81978,0
504500,50000,1,0,0,0,0,0,1,2,0,1,0,4,3,1,78,3,884.63,19.48,0,0,32.57,1.02,234,0,0,10.81978,0
504509,50000,0,0,0,0,1,0,1,4,1,0,0,3,2,1,83,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.81978,0
504546,50000,0,1,0,0,0,0,0,0,0,0,1,4,3,3,396,3,167.6,16.73,0,0,3.7,0,52,1,0,10.81978,0
504550,50447,0,0,0,0,1,0,1,5,0,1,0,3,2,1,83,3,253.98,6.95,0,1.76,5.92,0.93,52,0,0,10.82868,0
504551,50474,0,0,0,0,1,0,1,2,0,0,1,4,3,0,82,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.82921,0
504552,50474,0,0,0,0,1,0,1,2,0,0,1,4,3,0,82,3,215.15,7.5,0,1.87,8.94,0.94,52,0,0,10.82921,0
504571,51000,0,0,0,0,0,1,1,3,0,1,0,3,2,1,54,3,373.46,88.18,0,0.26,0.99,0.06,234,0,0,10.83958,0
504578,51000,0,0,0,1,0,0,1,1,0,1,0,3,2,0,58,4,313.76,1.77,0,0.44,25.78,43.74,190.95,0,0,10.83958,0
504598,51200,0,0,0,1,0,0,1,2,0,0,0,3,3,1,66,3,792.85,11.97,0,1.1,19.35,0.71,234,0,0,10.84349,0
504670,52000,0,0,0,0,1,0,1,1,0,1,0,3,2,1,57,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.859,0
504671,52000,0,0,0,1,0,0,1,2,0,1,0,3,2,1,57,3,361.77,5.99,0,1.5,7.15,1.1,52,0,0,10.859,0
504672,52000,0,0,0,1,0,0,1,5,0,1,0,3,2,1,57,3,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.859,0
504676,52000,0,0,0,1,0,0,1,1,0,1,0,3,2,1,58,4,365.52,25.08,0,4.1,24.66,0.9,52,0,0,10.859,0
